EPS	JV
0.01	0.0848059	0.0022786
0.00932603	0.0783043	0.00228725
0.00869749	0.0722851	0.00508582
0.00811131	0.0666548	0.00484412
0.00756463	0.0644946	0.00230127
0.0070548	0.0595442	0.00227462
0.00657933	0.0549012	0.00230353
0.00613591	0.0506031	0.00225171
0.00572237	0.0458863	0.00224869
0.0053367	0.0421321	0.00226332
0.00497702	0.0386198	0.00223997
0.00464159	0.0353825	0.00220772
0.00432876	0.0324036	0.00222131
0.00403702	0.0296088	0.00220424
0.00376494	0.0270395	0.00221374
0.00351119	0.0246409	0.002208
0.00327455	0.0223955	0.00219608
0.00305386	0.0203154	0.00219588
0.00284804	0.0183928	0.00218677
0.00265609	0.0165915	0.00220814
0.00247708	0.0149193	0.00223111
0.00231013	0.0133422	0.00221093
0.00215443	0.0118964	0.00221337
0.00200923	0.00901735	0.000205258
0.00187382	0.00785288	0.000203892
0.00174753	0.00629821	0.000229947
0.00162975	0.0054402	0.000236097
0.00151991	0.0047511	0.000241402
0.00141747	0.00424136	0.000235645
0.00132194	0.00394822	0.000231724
0.00123285	0.00382371	0.000224062
0.00114976	0.00386804	0.000225045
0.00107227	0.00407018	0.000222045
0.001	0.00435884	0.000222264
0.000932603	0.00469313	0.000240347
0.000869749	0.00505663	0.000243551
0.000811131	0.00544975	0.000236784
0.000756463	0.0058416	0.000244777
0.00070548	0.00622395	0.000230476
0.000657933	0.00658054	0.00025111
0.000613591	0.00694012	0.000231399
0.000572237	0.00726783	0.000239041
0.00053367	0.0075842	0.000225869
0.000497702	0.00789557	0.00022273
0.000464159	0.0081724	0.000221987
0.000432876	0.00843818	0.000237854
0.000403702	0.00869897	0.0122483
0.000376494	0.0036199	1.55674e-05
0.000351119	0.00337338	1.51816e-05
0.000327455	0.00315246	1.21259e-05
0.000305386	0.00293397	6.38769e-06
0.000284804	0.00273746	4.16303e-06
0.000265609	0.00254225	5.57435e-06
0.000247708	0.00236683	1.23088e-05
0.000231013	0.00221906	7.59193e-06
0.000215443	0.00206153	1.75821e-05
0.000200923	0.00192456	4.40946e-06
0.000187382	0.00178859	8.07294e-06
0.000174753	0.00167335	7.95122e-06
0.000162975	0.00154898	6.21644e-06
0.000151991	0.00145916	2.02081e-05
0.000141747	0.00134148	1.16694e-05
0.000132194	0.00125864	1.23994e-05
0.000123285	0.00117489	8.28004e-06
0.000114976	0.00109719	1.35604e-05
0.000107227	0.00101792	5.55935e-06
0.0001	0.000950693	1.53252e-05
9.32603e-05	0.000892501	1.16277e-05
8.69749e-05	0.000832783	1.79781e-05
8.11131e-05	0.000773938	9.1336e-06
7.56463e-05	0.000706333	1.77439e-05
7.0548e-05	0.000667976	2.32506e-05
6.57933e-05	0.000626384	7.63535e-06
6.13591e-05	0.000584737	9.9143e-06
5.72237e-05	0.000552328	1.93983e-05
5.3367e-05	0.000514725	9.17023e-06
4.97702e-05	0.0004729	1.61513e-05
4.64159e-05	0.000448486	4.58194e-06
4.32876e-05	0.000403932	2.85878e-05
4.03702e-05	0.000380264	2.0613e-05
3.76494e-05	0.000368189	2.05581e-05
3.51119e-05	0.000338978	4.75868e-06
3.27455e-05	0.000306775	9.44341e-06
3.05386e-05	0.000288341	9.22898e-06
2.84804e-05	0.000265618	2.17575e-05
2.65609e-05	0.000245503	6.91104e-06
2.47708e-05	0.00022198	1.26009e-05
2.31013e-05	0.000212343	1.74155e-05
2.15443e-05	0.000201812	1.73867e-05
2.00923e-05	0.000181964	1.25365e-05
1.87382e-05	0.000180708	8.01764e-06
1.74753e-05	0.000166762	1.48032e-05
1.62975e-05	0.000154549	2.16736e-05
1.51991e-05	0.000143081	4.76951e-06
1.41747e-05	0.000142433	1.84548e-05
1.32194e-05	0.000132597	1.03539e-05
1.23285e-05	0.000116944	1.629e-05
1.14976e-05	0.000102976	1.01501e-05
1.07227e-05	9.90354e-05	5.13519e-06
1e-05	8.17963e-05	7.40016e-06
